Turn on the fan.,1
Turn off the fan.,0
Please turn on the fan.,1
"The fan is off, please turn it on.",1
Turn the fan up to high.,0
"The fan is running, please turn it off.",1
Activate the fan,1
Switch on the fan.,0
Can you turn off the fan?,1
Start the fan.,0
"Stop the fan, please.",0
Turn the fan up a notch.,1
The fan needs to be turned on.,1
Shut down the fan.,0
Let's turn the fan on.,1
"The fan is too loud, please turn it down.",0
"The room is getting stuffy, turn on the fan.",1
Turn off the ceiling fan.,0
Turn on the standing fan.,1
Can you turn the fan off for a minute?,0
"The fan is making a strange noise, please turn it off.",0
"It's too hot in here, turn on the fan.",1
"The fan is not spinning, please turn it on.",1
Turn off the oscillating fan.,0
Please turn the fan to low.,0
Turn on the pedestal fan.,1
"The fan is blowing papers everywhere, turn it off.",0
Switch off the tower fan.,0
Turn the fan speed up.,1
Can you turn the fan down?,0
"The fan is not working, please turn it off.",0
Turn on the table fan.,1
"The fan is blowing my hair everywhere, please turn it down.",0
Turn off the exhaust fan.,0
"The fan is causing a draft, turn it off.",0
Turn on the box fan.,1
"The fan is not powerful enough, turn it up.",1
Turn off the industrial fan.,0
Please turn the fan to medium.,0
Turn on the outdoor fan.,1
"The fan is shaking, please turn it off.",0
Turn off the bathroom fan.,0
Turn the fan up to maximum.,1
Can you turn the fan to high?,1
"The fan is dirty, turn it off.",0
Turn on the attic fan.,1
"The fan is blocking the view, turn it off.",0
Turn off the floor fan.,0
"The fan is making me cold, turn it down.",0
Turn on the garage fan.,1
Please turn the fan to speed 3.,1
Turn off the kitchen fan.,0
"The fan is too close, turn it off.",0
Turn on the window fan.,1
"The fan is making a buzzing sound, please turn it off.",0
Turn off the wall fan.,0
"The fan is blowing dust everywhere, turn it off.",0
Turn on the outdoor ceiling fan.,1
Please turn the fan to speed 2.,1
Turn off the attic exhaust fan.,0
"The fan is too fast, turn it down.",0
Turn on the porch fan.,1
"The fan is too slow, turn it up.",1
Turn off the bedroom fan.,0
Turn on the outdoor standing fan.,1
"The fan is making a clicking noise, please turn it off.",0
Turn off the garage exhaust fan.,0
Turn the fan to the left.,1
Please turn the fan to speed 1.,1
Turn on the outdoor wall fan.,1
"The fan is not rotating, please turn it on.",1
Turn off the outdoor pedestal fan.,0
Turn on the indoor ceiling fan.,1
Please turn the fan to its lowest setting.,1
Turn off the outdoor table fan.,0
"The fan is too high, turn it down.",0
Turn on the outdoor box fan.,1
"The fan is too low, turn it up.",1
Turn off the indoor standing fan.,0
Please turn the fan to its highest setting.,1
Turn on the indoor pedestal fan.,1
"The fan is not blowing air, please turn it on.",1
Turn off the indoor wall fan.,0
"The fan is in the wrong direction, please turn it around.",1
Turn on the indoor table fan.,1
"The fan is dusty, turn it off.",0
Turn off the outdoor tower fan.,0
"The fan is making a whistling sound, please turn it off.",0
Turn on the indoor box fan.,1
Please turn the fan up a bit.,1
Turn off the outdoor oscillating fan.,0
"The fan is vibrating, please turn it off.",0
Turn on the indoor tower fan.,1
"The fan is making a rattling sound, please turn it off.",0
Turn off the indoor oscillating fan.,0
Please turn the fan down a bit.,0
Turn on the indoor wall fan.,1
